Pking_Entrez_geneID	GO_IDs
111832910	GO:0005794,GO:0016020,GO:0016021,GO:0030173
111832911	GO:0005575
111832912	GO:0005737,GO:0031931
111832913	
111832914	GO:0005783
111832915	
111832916	
111832917	GO:0005634,GO:0016589
111832918	GO:0005634,GO:0005737,GO:0010494
111832919	GO:0005634,GO:0005680,GO:0031461
111832920	GO:0016020,GO:0016021
111832921	GO:0005575
111832926	GO:0005886,GO:0016020,GO:0016021
111832928	GO:0005886,GO:0005913,GO:0009986,GO:0016020,GO:0016021,GO:0016342
111832929	GO:0005634
111832930	GO:0016020,GO:0016021
111832931	GO:0005794,GO:0016020,GO:0030117,GO:0030121,GO:0030131,GO:0031410
111832932	
111832933	
111832934	GO:0005886
111832935	GO:0005634,GO:0005667,GO:0016020,GO:0016021
111832936	GO:0016020,GO:0016021
111832937	
111832938	GO:0016020,GO:0016021
111832939	
111832941	GO:0005737
111832942	GO:0005575
111832943	GO:0005634
111832944	GO:0005886,GO:0016020,GO:0016021
111832945	GO:0005886,GO:0005902,GO:0005913,GO:0005938,GO:0009986,GO:0016020,GO:0016021,GO:0016342,GO:0030057
111832946	GO:0005622,GO:0005737,GO:0005886,GO:0005938,GO:0042995
111832947	GO:0005886,GO:0005913,GO:0009986,GO:0016020,GO:0016021,GO:0016342
111832948	GO:0005739,GO:0016020,GO:0016021
111832949	
111832950	GO:0000776,GO:0005634
111832951	
111832952	GO:0005575
111832953	GO:0005737,GO:0005829
111832954	
111832955	
111832956	GO:0005886,GO:0016020
111832957	GO:0005634
111832958	
111832959	
111832960	GO:0005737
111832961	GO:0097361
111832962	GO:0005622
111832967	
111832968	GO:0016020,GO:0016021
111832969	GO:0005829,GO:0016020,GO:0016021
111832970	GO:0005576,GO:0005615
111832971	GO:0016020,GO:0016021
111832973	GO:0005634
111832974	GO:0005575
111832975	GO:0005737,GO:0005925,GO:0015629
111832976	
111832977	GO:0005634,GO:0005667,GO:0005737
111832978	GO:0005575,GO:0016281
111832979	GO:0045202
111832980	
111832981	GO:0016020,GO:0016021
111832982	GO:0005575,GO:0005737,GO:0005739
111832985	GO:0005886,GO:0005913,GO:0009986,GO:0016020,GO:0016021,GO:0016342
111832986	GO:0016020,GO:0016021
111832987	GO:0016020,GO:0031225
111832988	GO:0005575
111832990	
111832991	GO:0000506,GO:0005829,GO:0016020,GO:0016021
111832992	GO:0016020,GO:0016021
111832993	GO:0016020,GO:0016021
111832994	GO:0000139,GO:0005794,GO:0016020,GO:0016021
111832995	GO:0005575
111832996	GO:0005575
111832998	GO:0005886,GO:0005913,GO:0009986,GO:0016020,GO:0016021,GO:0016342
111832999	
111833000	
111833002	GO:0016020,GO:0016021
111833003	
111833004	GO:0005634,GO:0005667,GO:0005829,GO:0044798
111833005	GO:0016020,GO:0016021
111833006	GO:0000781,GO:0000784,GO:0005634,GO:0005637,GO:0005694,GO:0016020,GO:0070187
111833007	GO:0005577
111833009	
111833010	GO:0005615
111833011	GO:0005813,GO:0005868
111833012	GO:0005576
111833013	GO:0005737,GO:0005739,GO:0005743,GO:0005886,GO:0016020
111833014	GO:0005739,GO:0005960
111833016	GO:0005577
111833017	GO:0005737
111833018	
111833019	GO:0005575
111833020	GO:0001917,GO:0042622
111833021	GO:0005737
111833022	GO:0000785,GO:0005634,GO:0016020,GO:0016021
111833024	
111833025	GO:0005737
111833028	GO:0005575
111833029	GO:0005737,GO:0005856,GO:0005929,GO:0005930,GO:0016020,GO:0034464,GO:0036064,GO:0042995
111833030	GO:0005737
111833031	GO:0005770,GO:0016020,GO:0016021
111833032	GO:0005575
111833033	GO:0005886,GO:0005921,GO:0005922,GO:0016020,GO:0016021,GO:0030054
111833034	GO:0031234
111833035	GO:0016020,GO:0016021
111833036	GO:0005815,GO:0005874,GO:0030864
111833037	GO:0000307,GO:0005634,GO:0005737
111833038	
111833039	GO:0005737,GO:0005852,GO:0016282,GO:0033290
111833040	
111833041	GO:0016020,GO:0016021
111833042	GO:0016020,GO:0016021
111833043	GO:0005737
111833045	GO:0005575,GO:0005634,GO:0005667,GO:0005739
111833046	GO:0000118,GO:0005634,GO:0070822
111833048	
111833050	GO:0031012
111833051	GO:0009897,GO:0016020,GO:0016021
111833052	GO:0072669
111833053	GO:0016020,GO:0016021
111833054	GO:0005886,GO:0005921,GO:0005922,GO:0016020,GO:0016021,GO:0030054
111833055	
111833056	GO:0005575
111833057	GO:0005634
111833058	GO:0005886,GO:0016020,GO:0016021
111833059	
111833060	
111833061	GO:0005739
111833062	GO:0005634,GO:0005737,GO:0005829
111833063	GO:0005575
111833064	GO:0016020,GO:0016021
111833065	GO:0005615
111833066	GO:0005856
111833067	GO:0016020,GO:0016021
111833068	GO:0016020,GO:0016021,GO:0042765
111833069	
111833070	GO:0005575
111833071	GO:0005634,GO:0005737,GO:0016607
111833072	GO:0005634,GO:0005737,GO:0005856,GO:0005874,GO:0005875,GO:0030286,GO:0043186
111833073	GO:0016020,GO:0016021
111833075	GO:0016020,GO:0016021
111833076	GO:0030134
111833078	GO:0005634,GO:0008023,GO:0035327
111833079	
111833080	GO:0005575
111833081	GO:0005622,GO:0005840,GO:0022625
111833082	
111833083	GO:0005615
111833084	GO:0005789,GO:0016020
111833088	
111833089	
111833091	
111833093	GO:0005737
111833094	
111833095	GO:0005634,GO:0016586
111833096	GO:0005622,GO:0005634,GO:0005737,GO:0035517
111833097	GO:0005634,GO:0005737
111833098	GO:0008076,GO:0016020,GO:0016021
111833099	GO:0005783,GO:0005789,GO:0016020,GO:0016021
111833100	GO:0005794,GO:0016020,GO:0016021
111833101	GO:0005787,GO:0016020,GO:0016021,GO:0030176
111833103	GO:0005575
111833104	GO:0045202,GO:0048786
111833109	GO:0016020,GO:0016021
111833110	GO:0005634,GO:0005737
111833111	GO:0005737
111833112	GO:0005769,GO:0005802,GO:0055037
111833113	GO:0031012
111833114	GO:0005737,GO:0005783,GO:0005856,GO:0016020,GO:0016529
111833115	
111833116	GO:0005634
111833117	
111833118	
111833119	GO:0005575,GO:0005634
111833120	GO:0005856
111833121	GO:0030891,GO:0070449
111833122	GO:0005575
111833123	GO:0005575
111833124	
111833126	
111833127	
111833129	GO:0000813
111833130	
111833131	GO:0005634
111833132	GO:0005634
111833134	GO:0016020,GO:0016021
111833136	GO:0016020,GO:0016021
111833137	GO:0005749,GO:0016020,GO:0016021,GO:0045281
111833139	
111833140	GO:0016020,GO:0016021
111833142	
111833143	GO:0005634,GO:0005737,GO:0005739
